JAPAN, JAP
"tas","	Year"," Month"," Country"," ISO3"," ISO2"
"0.38286","1991","1","JPN","",""
"-0.2764","1991","2","JPN","",""
"3.92111","1991","3","JPN","",""
"10.0168","1991","4","JPN","",""
"14.2223","1991","5","JPN","",""
"19.4498","1991","6","JPN","",""
"21.9265","1991","7","JPN","",""
"22.2258","1991","8","JPN","",""
"19.8685","1991","9","JPN","",""
"13.9188","1991","10","JPN","",""
"7.37769","1991","11","JPN","",""
"3.1097","1991","12","JPN","",""
"0.76162","1992","1","JPN","",""
"0.42706","1992","2","JPN","",""
"4.13373","1992","3","JPN","",""
"9.48763","1992","4","JPN","",""
"12.9397","1992","5","JPN","",""
"17.0037","1992","6","JPN","",""
"21.8076","1992","7","JPN","",""
"22.7002","1992","8","JPN","",""
"18.7753","1992","9","JPN","",""
"13.2658","1992","10","JPN","",""
"7.70996","1992","11","JPN","",""
"3.1452","1992","12","JPN","",""
"0.86272","1993","1","JPN","",""
"1.19467","1993","2","JPN","",""
"3.08926","1993","3","JPN","",""
"8.27139","1993","4","JPN","",""
"13.2521","1993","5","JPN","",""
"17.1214","1993","6","JPN","",""
"19.7638","1993","7","JPN","",""
"21.0414","1993","8","JPN","",""
"18.395","1993","9","JPN","",""
"12.6367","1993","10","JPN","",""
"8.5713","1993","11","JPN","",""
"2.56453","1993","12","JPN","",""
"-0.6656","1994","1","JPN","",""
"0.47955","1994","2","JPN","",""
"2.35416","1994","3","JPN","",""
"9.9114","1994","4","JPN","",""
"15.0636","1994","5","JPN","",""
"18.1172","1994","6","JPN","",""
"23.8267","1994","7","JPN","",""
"25.2359","1994","8","JPN","",""
"20.6897","1994","9","JPN","",""
"14.8305","1994","10","JPN","",""
"8.42937","1994","11","JPN","",""
"2.67178","1994","12","JPN","",""
"-0.4768","1995","1","JPN","",""
"0.21566","1995","2","JPN","",""
"3.49772","1995","3","JPN","",""
"9.29702","1995","4","JPN","",""
"14.2939","1995","5","JPN","",""
"16.8414","1995","6","JPN","",""
"22.4441","1995","7","JPN","",""
"24.0843","1995","8","JPN","",""
"18.9225","1995","9","JPN","",""
"14.6291","1995","10","JPN","",""
"7.00743","1995","11","JPN","",""
"1.55903","1995","12","JPN","",""
"-0.3799","1996","1","JPN","",""
"-0.6859","1996","2","JPN","",""
"3.01766","1996","3","JPN","",""
"7.29996","1996","4","JPN","",""
"13.0722","1996","5","JPN","",""
"17.9024","1996","6","JPN","",""
"21.9693","1996","7","JPN","",""
"22.6339","1996","8","JPN","",""
"18.816","1996","9","JPN","",""
"13.4309","1996","10","JPN","",""
"7.63073","1996","11","JPN","",""
"2.49469","1996","12","JPN","",""
"-0.0264","1997","1","JPN","",""
"0.41117","1997","2","JPN","",""
"4.11371","1997","3","JPN","",""
"9.56485","1997","4","JPN","",""
"14.1506","1997","5","JPN","",""
"18.0207","1997","6","JPN","",""
"22.3355","1997","7","JPN","",""
"22.6938","1997","8","JPN","",""
"18.832","1997","9","JPN","",""
"12.9324","1997","10","JPN","",""
"8.99068","1997","11","JPN","",""
"3.21098","1997","12","JPN","",""
"-1.1105","1998","1","JPN","",""
"0.90916","1998","2","JPN","",""
"4.37831","1998","3","JPN","",""
"11.3741","1998","4","JPN","",""
"15.6006","1998","5","JPN","",""
"17.6777","1998","6","JPN","",""
"21.9569","1998","7","JPN","",""
"23.1633","1998","8","JPN","",""
"20.545","1998","9","JPN","",""
"15.3051","1998","10","JPN","",""
"7.55051","1998","11","JPN","",""
"3.04695","1998","12","JPN","",""
"0.02771","1999","1","JPN","",""
"-0.1153","1999","2","JPN","",""
"3.97975","1999","3","JPN","",""
"9.30254","1999","4","JPN","",""
"14.445","1999","5","JPN","",""
"18.7347","1999","6","JPN","",""
"22.1152","1999","7","JPN","",""
"24.4761","1999","8","JPN","",""
"21.3728","1999","9","JPN","",""
"14.4062","1999","10","JPN","",""
"8.30463","1999","11","JPN","",""
"2.22391","1999","12","JPN","",""
"0.87575","2000","1","JPN","",""
"-1.0491","2000","2","JPN","",""
"3.03034","2000","3","JPN","",""
"8.8162","2000","4","JPN","",""
"14.8156","2000","5","JPN","",""
"18.2126","2000","6","JPN","",""
"23.3113","2000","7","JPN","",""
"24.2532","2000","8","JPN","",""
"20.2384","2000","9","JPN","",""
"14.1023","2000","10","JPN","",""
"7.90123","2000","11","JPN","",""
"1.97392","2000","12","JPN","",""
"-1.6216","2001","1","JPN","",""
"-0.5974","2001","2","JPN","",""
"3.41185","2001","3","JPN","",""
"10.0173","2001","4","JPN","",""
"14.7498","2001","5","JPN","",""
"18.4668","2001","6","JPN","",""
"23.2016","2001","7","JPN","",""
"22.7254","2001","8","JPN","",""
"19.007","2001","9","JPN","",""
"13.9354","2001","10","JPN","",""
"7.4644","2001","11","JPN","",""
"1.21763","2001","12","JPN","",""
"0.65774","2002","1","JPN","",""
"1.50252","2002","2","JPN","",""
"5.44593","2002","3","JPN","",""
"10.9738","2002","4","JPN","",""
"14.3463","2002","5","JPN","",""
"17.773","2002","6","JPN","",""
"22.6646","2002","7","JPN","",""
"22.9145","2002","8","JPN","",""
"19.4144","2002","9","JPN","",""
"13.6774","2002","10","JPN","",""
"5.454","2002","11","JPN","",""
"1.3452","2002","12","JPN","",""
"-0.8649","2003","1","JPN","",""
"0.22594","2003","2","JPN","",""
"2.91832","2003","3","JPN","",""
"9.95207","2003","4","JPN","",""
"14.4693","2003","5","JPN","",""
"18.3977","2003","6","JPN","",""
"19.5925","2003","7","JPN","",""
"22.2564","2003","8","JPN","",""
"19.803","2003","9","JPN","",""
"13.0863","2003","10","JPN","",""
"9.46382","2003","11","JPN","",""
"3.05787","2003","12","JPN","",""
"-0.2243","2004","1","JPN","",""
"1.62775","2004","2","JPN","",""
"3.87499","2004","3","JPN","",""
"9.89303","2004","4","JPN","",""
"15.1268","2004","5","JPN","",""
"19.3591","2004","6","JPN","",""
"23.4755","2004","7","JPN","",""
"23.2177","2004","8","JPN","",""
"20.4151","2004","9","JPN","",""
"13.7898","2004","10","JPN","",""
"9.59626","2004","11","JPN","",""
"3.50579","2004","12","JPN","",""
"-0.3673","2005","1","JPN","",""
"-0.6464","2005","2","JPN","",""
"2.85693","2005","3","JPN","",""
"9.61914","2005","4","JPN","",""
"13.1511","2005","5","JPN","",""
"19.3402","2005","6","JPN","",""
"21.7095","2005","7","JPN","",""
"24.0024","2005","8","JPN","",""
"20.5947","2005","9","JPN","",""
"14.841","2005","10","JPN","",""
"7.94206","2005","11","JPN","",""
"-0.1513","2005","12","JPN","",""
"-0.9142","2006","1","JPN","",""
"0.63467","2006","2","JPN","",""
"3.43337","2006","3","JPN","",""
"7.9526","2006","4","JPN","",""
"14.3073","2006","5","JPN","",""
"18.0374","2006","6","JPN","",""
"21.698","2006","7","JPN","",""
"24.47","2006","8","JPN","",""
"19.546","2006","9","JPN","",""
"14.5527","2006","10","JPN","",""
"8.79936","2006","11","JPN","",""
"2.96628","2006","12","JPN","",""
"1.14277","2007","1","JPN","",""
"2.21159","2007","2","JPN","",""
"3.97531","2007","3","JPN","",""
"8.62312","2007","4","JPN","",""
"14.2777","2007","5","JPN","",""
"19.004","2007","6","JPN","",""
"20.8414","2007","7","JPN","",""
"24.4373","2007","8","JPN","",""
"21.2351","2007","9","JPN","",""
"14.4108","2007","10","JPN","",""
"7.63311","2007","11","JPN","",""
"2.99138","2007","12","JPN","",""
"-0.4819","2008","1","JPN","",""
"-0.7723","2008","2","JPN","",""
"4.94801","2008","3","JPN","",""
"10.0412","2008","4","JPN","",""
"14.2234","2008","5","JPN","",""
"17.7083","2008","6","JPN","",""
"23.0505","2008","7","JPN","",""
"22.9611","2008","8","JPN","",""
"20.1762","2008","9","JPN","",""
"14.6675","2008","10","JPN","",""
"7.61196","2008","11","JPN","",""
"3.42264","2008","12","JPN","",""
"0.63447","2009","1","JPN","",""
"1.61688","2009","2","JPN","",""
"4.20787","2009","3","JPN","",""
"9.8673","2009","4","JPN","",""
"15.1537","2009","5","JPN","",""
"18.5957","2009","6","JPN","",""
"21.528","2009","7","JPN","",""
"22.6198","2009","8","JPN","",""
"19.279","2009","9","JPN","",""
"14.0312","2009","10","JPN","",""
"8.14592","2009","11","JPN","",""
"2.60915","2009","12","JPN","",""
"0.29584","2010","1","JPN","",""
"0.92205","2010","2","JPN","",""
"3.44453","2010","3","JPN","",""
"7.92091","2010","4","JPN","",""
"13.7139","2010","5","JPN","",""
"19.3483","2010","6","JPN","",""
"23.3061","2010","7","JPN","",""
"25.5119","2010","8","JPN","",""
"21.2097","2010","9","JPN","",""
"14.595","2010","10","JPN","",""
"8.03904","2010","11","JPN","",""
"3.30776","2010","12","JPN","",""
"-1.8704","2011","1","JPN","",""
"1.28108","2011","2","JPN","",""
"2.42299","2011","3","JPN","",""
"8.82402","2011","4","JPN","",""
"13.8157","2011","5","JPN","",""
"18.9436","2011","6","JPN","",""
"23.2208","2011","7","JPN","",""
"23.9868","2011","8","JPN","",""
"20.7197","2011","9","JPN","",""
"14.2522","2011","10","JPN","",""
"9.30736","2011","11","JPN","",""
"1.53149","2011","12","JPN","",""
"-1.2054","2012","1","JPN","",""
"-1.2047","2012","2","JPN","",""
"3.20087","2012","3","JPN","",""
"9.37266","2012","4","JPN","",""
"14.4759","2012","5","JPN","",""
"17.8975","2012","6","JPN","",""
"22.6706","2012","7","JPN","",""
"24.6691","2012","8","JPN","",""
"21.5164","2012","9","JPN","",""
"14.5726","2012","10","JPN","",""
"7.40733","2012","11","JPN","",""
"0.93903","2012","12","JPN","",""
"-1.2821","2013","1","JPN","",""
"-0.3726","2013","2","JPN","",""
"4.59865","2013","3","JPN","",""
"8.82485","2013","4","JPN","",""
"13.9576","2013","5","JPN","",""
"18.9163","2013","6","JPN","",""
"23.3049","2013","7","JPN","",""
"24.6862","2013","8","JPN","",""
"20.3693","2013","9","JPN","",""
"15.1697","2013","10","JPN","",""
"7.72592","2013","11","JPN","",""
"2.44361","2013","12","JPN","",""
"-0.3389","2014","1","JPN","",""
"-0.0509","2014","2","JPN","",""
"3.94121","2014","3","JPN","",""
"9.35656","2014","4","JPN","",""
"14.8738","2014","5","JPN","",""
"19.2253","2014","6","JPN","",""
"22.8545","2014","7","JPN","",""
"23.1451","2014","8","JPN","",""
"19.2121","2014","9","JPN","",""
"13.9095","2014","10","JPN","",""
"8.69167","2014","11","JPN","",""
"1.09763","2014","12","JPN","",""
"0.47881","2015","1","JPN","",""
"1.02513","2015","2","JPN","",""
"4.98346","2015","3","JPN","",""
"10.4627","2015","4","JPN","",""
"15.907","2015","5","JPN","",""
"18.1341","2015","6","JPN","",""
"22.5267","2015","7","JPN","",""
"23.2621","2015","8","JPN","",""
"19.0699","2015","9","JPN","",""
"13.5452","2015","10","JPN","",""
"9.28141","2015","11","JPN","",""
"4.05555","2015","12","JPN","",""
